date,Income,Outcome,Balance,weekend,day_of_week,Monday,Tuesday,Wednesday,Thursday,Firday,Saturday,Sunday,day_of_week_sin,day_of_week_cos,holiday,preholiday,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,quarter_1,quarter_2,quarter_3,quarter_4,keyrate,payday,mean_weekly,std_weekly,median_weekly,max_weekly,min_weekly,mean_monthly,std_monthly,median_monthly,max_monthly,min_monthly,first_lag,second_lag
2017-02-17,1.002798216997122,0.9187118264698813,0.08408639051407372,0,4,0,0,0,0,1,0,0,-0.433883739117558,-0.9009688679024191,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.015957767998784556,0.14324358133187212,0.0,0.270095094760295,-0.19046988785110308,0.008448428055324137,0.13492478090838758,0.0,0.4346808287785116,-0.19848347820723888,0.270095094760295,0.034170549317338435
2017-02-18,0.0,0.0,0.0,1,5,0,0,0,0,0,1,0,-0.9749279121818236,-0.2225209339563146,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.015957767998784556,0.14324358133187212,0.0,0.270095094760295,-0.19046988785110308,0.008628118111991037,0.1349093034240926,0.0,0.4346808287785116,-0.19848347820723888,0.08408639051407372,0.270095094760295
2017-02-19,0.0,0.0,0.0,1,6,0,0,0,0,0,0,1,-0.7818314824680299,0.6234898018587334,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.015957767998784556,0.14324358133187212,0.0,0.270095094760295,-0.19046988785110308,0.01242479248003422,0.13293035386078586,0.0,0.4346808287785116,-0.19848347820723888,0.0,0.08408639051407372
2017-02-20,1.119652580240115,1.1444110985216633,-0.02475851828154834,0,0,1,0,0,0,0,0,0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.03963082079443524,0.11418908764618353,0.0,0.270095094760295,-0.08617777074911219,0.011599508537315941,0.13308691490804508,0.0,0.4346808287785116,-0.19848347820723888,0.0,0.0
2017-02-21,1.2875369255930598,1.1564679953704227,0.131068930222637,0,1,0,1,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.0706660637903994,0.10330029720811516,0.034170549317338435,0.270095094760295,-0.02475851828154834,0.015968472878070506,0.1348329028847712,0.0,0.4346808287785116,-0.19848347820723888,-0.02475851828154834,0.0
2017-02-22,1.4351970639838416,1.4220301184427053,0.022755521392292838,0,2,0,0,1,0,0,0,0,0.9749279121818236,-0.22252093395631434,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.06903534551539289,0.10405975144221215,0.022755521392292838,0.270095094760295,-0.02475851828154834,0.020371857731275547,0.13274009947019552,0.0,0.4346808287785116,-0.19848347820723888,0.131068930222637,-0.02475851828154834
2017-02-23,0.0,0.0,0.0,0,3,0,0,0,1,0,0,0,0.43388373911755823,-0.900968867902419,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.030450331978207897,0.05610975033753545,0.0,0.131068930222637,-0.02475851828154834,0.017925992254861703,0.1324053592714931,0.0,0.4346808287785116,-0.19848347820723888,0.022755521392292838,0.131068930222637
2017-02-24,0.0582287574507276,0.0051352494037719,0.05309350805353918,0,4,0,0,0,0,1,0,0,-0.433883739117558,-0.9009688679024191,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.02602277734098868,0.052262938533119974,0.0,0.131068930222637,-0.02475851828154834,0.023487861601225204,0.1301684638107798,0.0,0.4346808287785116,-0.19848347820723888,0.0,0.022755521392292838
2017-02-25,0.0,0.0,0.0,1,5,0,0,0,0,0,1,0,-0.9749279121818236,-0.2225209339563146,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.02602277734098868,0.052262938533119974,0.0,0.131068930222637,-0.02475851828154834,0.027956649691674784,0.1268315664607497,0.0,0.4346808287785116,-0.19848347820723888,0.05309350805353918,0.0
2017-02-26,0.0,0.0,0.0,1,6,0,0,0,0,0,0,1,-0.7818314824680299,0.6234898018587334,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.02602277734098868,0.052262938533119974,0.0,0.131068930222637,-0.02475851828154834,0.03457276563191607,0.11958179920193782,0.0,0.4346808287785116,-0.19046988785110308,0.0,0.05309350805353918
2017-02-27,1.7643707025122455,1.882873212382471,-0.11886215537581134,0,0,1,0,0,0,0,0,0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,1,0.012579400613236816,0.07476220253024296,0.0,0.131068930222637,-0.11886215537581134,0.030610693786055698,0.12269536887708854,0.0,0.4346808287785116,-0.19046988785110308,0.0,0.0
2017-02-28,1.5010317916895224,1.711702920347701,-0.21112799001511892,0,1,0,1,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,-0.0363058737064426,0.09382000429950699,0.0,0.05309350805353918,-0.21112799001511892,0.02357309411888507,0.1303291847026227,0.0,0.4346808287785116,-0.21112799001511892,-0.11886215537581134,0.0
2017-03-01,0.9424913810469185,1.1401593375688304,-0.1976679565219119,0,2,0,0,1,0,0,0,0,0.9749279121818236,-0.22252093395631434,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,-0.06779494197990042,0.10678771985812248,0.0,0.05309350805353918,-0.21112799001511892,0.022140920216320345,0.1325725554327868,0.0,0.4346808287785116,-0.21112799001511892,-0.21112799001511892,-0.11886215537581134
2017-03-02,1.0302432793328802,0.8674934692546655,0.16274981007821462,0,3,0,0,0,1,0,0,0,0.43388373911755823,-0.900968867902419,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,-0.044544969111584044,0.13735143643819836,0.0,0.16274981007821462,-0.21112799001511892,0.02846591202457319,0.13465727388317297,0.0,0.4346808287785116,-0.21112799001511892,-0.1976679565219119,-0.21112799001511892
2017-03-03,0.9810719145252401,0.9122794827942109,0.06879243173102925,0,4,0,0,0,0,1,0,0,-0.433883739117558,-0.9009688679024191,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,-0.042302265729085464,0.139325391755667,0.0,0.16274981007821462,-0.21112799001511892,0.027648704939494097,0.1343241671225757,0.0,0.4346808287785116,-0.21112799001511892,0.16274981007821462,-0.1976679565219119
2017-03-04,0.0,0.0,0.0,1,5,0,0,0,0,0,1,0,-0.9749279121818236,-0.2225209339563146,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,-0.042302265729085464,0.139325391755667,0.0,0.16274981007821462,-0.21112799001511892,0.024871503409185463,0.1339944269178212,0.0,0.4346808287785116,-0.21112799001511892,0.06879243173102925,0.16274981007821462
2017-03-05,0.0,0.0,0.0,1,6,0,0,0,0,0,0,1,-0.7818314824680299,0.6234898018587334,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,-0.042302265729085464,0.139325391755667,0.0,0.16274981007821462,-0.21112799001511892,0.024645130111338162,0.1340317568946711,0.0,0.4346808287785116,-0.21112799001511892,0.0,0.06879243173102925
2017-03-06,1.0009637632255912,1.089702311078183,-0.08873854785259175,0,0,1,0,0,0,0,0,0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,-0.037998893225768375,0.13701257072354062,0.0,0.16274981007821462,-0.21112799001511892,0.021687178516251772,0.13556482550262416,0.0,0.4346808287785116,-0.21112799001511892,0.0,0.0
2017-03-07,0.9395876075006451,0.8876461851668224,0.05194142233382271,0,1,0,1,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,-0.0004175486044910026,0.11609173181920937,0.0,0.16274981007821462,-0.1976679565219119,0.023418559260712526,0.13560997454307877,0.0,0.4346808287785116,-0.21112799001511892,-0.08873854785259175,0.0
2017-03-08,0.0,0.0,0.0,0,2,0,0,1,0,0,0,0,0.9749279121818236,-0.22252093395631434,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.02782073089863927,0.0778614036808024,0.0,0.16274981007821462,-0.08873854785259175,0.024494633940979036,0.13528042425404124,0.0,0.4346808287785116,-0.21112799001511892,0.05194142233382271,-0.08873854785259175
2017-03-09,1.3561953907370246,1.0635391427698004,0.298185265101537,0,3,0,0,0,1,0,0,0,0.43388373911755823,-0.900968867902419,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.04716865304482818,0.121549111751688,0.0,0.298185265101537,-0.08873854785259175,0.035810452488641946,0.1435342812210143,0.0,0.4346808287785116,-0.21112799001511892,0.0,0.05194142233382271
2017-03-10,1.126412496190397,1.0095617742266925,0.11685072196370454,0,4,0,0,0,0,1,0,0,-0.433883739117558,-0.9009688679024191,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.0540341230780675,0.12430016061832619,0.0,0.298185265101537,-0.08873854785259175,0.033140684398489634,0.1411590394110816,0.0,0.4346808287785116,-0.21112799001511892,0.298185265101537,0.0
2017-03-11,0.0,0.0,0.0,1,5,0,0,0,0,0,1,0,-0.9749279121818236,-0.2225209339563146,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.05403412307806751,0.12430016061832619,0.0,0.298185265101537,-0.08873854785259175,0.01865132343920591,0.11910816987522502,0.0,0.298185265101537,-0.21112799001511892,0.11685072196370454,0.298185265101537
2017-03-12,0.0,0.0,0.0,1,6,0,0,0,0,0,0,1,-0.7818314824680299,0.6234898018587334,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.05403412307806751,0.12430016061832619,0.0,0.298185265101537,-0.08873854785259175,0.012532893960709557,0.11498848810369625,0.0,0.298185265101537,-0.21112799001511892,0.0,0.11685072196370454
2017-03-13,1.2392066376686697,1.4088631729015693,-0.16365134166205517,0,0,1,0,0,0,0,0,0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.0433322953910013,0.1407742884679783,0.0,0.298185265101537,-0.16365134166205517,0.00707784923864105,0.11940070258532348,0.0,0.298185265101537,-0.21112799001511892,0.0,0.0
2017-03-14,1.47469790060725,1.1213323624027178,0.35835827147991134,0,1,0,1,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.08710613098329967,0.18468830026507516,0.0,0.35835827147991134,-0.16365134166205517,0.019023124954638093,0.1355075333572502,0.0,0.35835827147991134,-0.21112799001511892,-0.16365134166205517,0.0
2017-03-15,1.2574723947705782,1.2484538243002399,0.009018570472971646,0,2,0,0,1,0,0,0,0,0.9749279121818236,-0.22252093395631434,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.0883944981937242,0.18400959184686877,0.009018570472971646,0.35835827147991134,-0.16365134166205517,0.025672740232107253,0.12964044487792215,0.0,0.35835827147991134,-0.21112799001511892,0.35835827147991134,-0.16365134166205517
2017-03-16,1.0262417627898632,0.9844830493915376,0.04175871339832548,0,3,0,0,0,1,0,0,0,0.43388373911755823,-0.900968867902419,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.05176213366469399,0.15912594538954966,0.009018570472971646,0.35835827147991134,-0.16365134166205517,0.02993728970368851,0.12792715245960926,0.0,0.35835827147991134,-0.21112799001511892,0.009018570472971646,0.35835827147991134
2017-03-17,1.0907661067399257,1.0308713149319388,0.059894791807986784,0,4,0,0,0,0,1,0,0,-0.433883739117558,-0.9009688679024191,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.04362557221387715,0.15668045472272793,0.009018570472971646,0.35835827147991134,-0.16365134166205517,0.030794764453376786,0.1280426662878946,0.0,0.35835827147991134,-0.21112799001511892,0.04175871339832548,0.009018570472971646
2017-03-18,0.0,0.0,0.0,1,5,0,0,0,0,0,1,0,-0.9749279121818236,-0.2225209339563146,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.04362557221387715,0.15668045472272793,0.009018570472971646,0.35835827147991134,-0.16365134166205517,0.02179159462803362,0.11987130523433363,0.0,0.35835827147991134,-0.21112799001511892,0.059894791807986784,0.04175871339832548
2017-03-19,0.0,0.0,0.0,1,6,0,0,0,0,0,0,1,-0.7818314824680299,0.6234898018587334,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.04362557221387715,0.15668045472272793,0.009018570472971646,0.35835827147991134,-0.16365134166205517,0.018988714944231162,0.11934639712649747,0.0,0.35835827147991134,-0.21112799001511892,0.0,0.059894791807986784
2017-03-20,1.3166945541136161,1.4351970639838416,-0.11852767337785246,0,0,1,0,0,0,0,0,0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.05007181054019183,0.14738366455321544,0.009018570472971646,0.35835827147991134,-0.11852767337785246,0.01503779249830275,0.12193061973245818,0.0,0.35835827147991134,-0.21112799001511892,0.0,0.0
2017-03-21,1.167639682907712,1.0765658477006557,0.09107383522022332,0,1,0,1,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.011888319645950688,0.0667912652146458,0.009018570472971646,0.09107383522022332,-0.11852767337785246,0.018073587005643526,0.12267479688925259,0.0,0.35835827147991134,-0.21112799001511892,-0.11852767337785246,0.0
2017-03-22,1.1074993506207047,1.0837461450372363,0.023753205596635397,0,2,0,0,1,0,0,0,0,0.9749279121818236,-0.22252093395631434,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.013993267520759795,0.06691781411210848,0.023753205596635397,0.09107383522022332,-0.11852767337785246,0.01969064446824965,0.12241017685628848,0.0,0.35835827147991134,-0.21112799001511892,0.09107383522022332,-0.11852767337785246
2017-03-23,1.111859819429625,1.0325245714137308,0.07933524801589417,0,3,0,0,0,1,0,0,0,0.43388373911755823,-0.900968867902419,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.01936134389469818,0.07090475277418254,0.023753205596635397,0.09107383522022332,-0.11852767337785246,0.017966188394691555,0.12114488821440327,0.0,0.35835827147991134,-0.21112799001511892,0.023753205596635397,0.09107383522022332
2017-03-24,1.0974852936672381,1.114761417822829,-0.01727612415559073,0,4,0,0,0,0,1,0,0,-0.433883739117558,-0.9009688679024191,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10.0,0,0.00833692732847282,0.0695383385105232,0.0,0.09107383522022332,-0.11852767337785246,0.016631800209762102,0.12131067261267021,0.0,0.35835827147991134,-0.21112799001511892,0.07933524801589417,0.023753205596635397
2017-03-25,0.0,0.0,0.0,1,5,0,0,0,0,0,1,0,-0.9749279121818236,-0.2225209339563146,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9.75,0,0.008336927328472821,0.0695383385105232,0.0,0.09107383522022332,-0.11852767337785246,0.016631800209762106,0.12131067261267021,0.0,0.35835827147991134,-0.21112799001511892,-0.01727612415559073,0.07933524801589417
2017-03-26,0.0,0.0,0.0,1,6,0,0,0,0,0,0,1,-0.7818314824680299,0.6234898018587334,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9.75,0,0.008336927328472821,0.0695383385105232,0.0,0.09107383522022332,-0.11852767337785246,0.014862016607977464,0.12114757259466843,0.0,0.35835827147991134,-0.21112799001511892,0.0,-0.01727612415559073
2017-03-27,2.8440602368854107,1.487864846148386,1.3430284451958885,0,0,1,0,0,0,0,0,0,0.0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9.75,1,0.21713065855329297,0.4981894801345164,0.023753205596635397,1.3430284451958885,-0.01727612415559073,0.05962963144784041,0.2709692881413224,0.0,1.3430284451958885,-0.21112799001511892,0.0,0.0
2017-03-28,1.3430284451958885,2.5938882716038236,-1.2440184535440715,0,1,0,1,0,0,0,0,0,0.7818314824680298,0.6234898018587336,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9.75,0,0.026403188729822263,0.7476166775780944,0.0,1.3430284451958885,-1.2440184535440715,0.018162349663038032,0.3607302397941547,0.0,1.3430284451958885,-1.2440184535440715,1.3430284451958885,0.0
2017-03-29,1.4351970639838416,1.0986140019623232,0.33127144967081507,0,2,0,0,1,0,0,0,0,0.9749279121818236,-0.22252093395631434,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9.75,0,0.07033436645470507,0.7564183338869617,0.0,1.3430284451958885,-1.2440184535440715,0.033166803164592244,0.36417930672416127,0.0,1.3430284451958885,-1.2440184535440715,-1.2440184535440715,1.3430284451958885
2017-03-30,1.4351970639838416,1.47469790060725,-0.039910246099323164,0,3,0,0,0,1,0,0,0,0.43388373911755823,-0.900968867902419,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,9.75,0,0.0532992958668169,0.7575237816245695,0.0,1.3430284451958885,-1.2440184535440715,0.038874061295118764,0.36155094939431476,0.0,1.3430284451958885,-1.2440184535440715,0.33127144967081507,-1.2440184535440715
